DOID:0001816	angiosarcoma
DOID:0110081	arrhythmogenic right ventricular dysplasia 10
DOID:0110082	arrhythmogenic right ventricular dysplasia 11
DOID:0110083	arrhythmogenic right ventricular dysplasia 12
DOID:0110084	arrhythmogenic right ventricular dysplasia 13
DOID:0110085	asphyxiating thoracic dystrophy 1
DOID:0110086	asphyxiating thoracic dystrophy 2
DOID:0110087	asphyxiating thoracic dystrophy 3
DOID:0110088	asphyxiating thoracic dystrophy 4
DOID:0110089	asphyxiating thoracic dystrophy 5
DOID:0110090	short-rib thoracic dysplasia 7 with or without polydactyly
DOID:0110091	short-rib thoracic dysplasia 10 with or without polydactyly
DOID:0110092	short-rib thoracic dysplasia 6 with or without polydactyly
DOID:0110093	short-rib thoracic dysplasia 13 with or without polydactyly
DOID:0110094	short-rib thoracic dysplasia 8 with or without polydactyly
DOID:0110095	short-rib thoracic dysplasia 11 with or without polydactyly
DOID:0110096	short-rib thoracic dysplasia 14 with polydactyly
DOID:0110097	short-rib thoracic dysplasia 9 with or without polydactyly
DOID:0110098	atopic dermatitis 2
DOID:0110099	atopic dermatitis 3
DOID:0110100	atopic dermatitis 4
DOID:0110101	atopic dermatitis 5
DOID:0110102	atopic dermatitis 6
DOID:0110103	atopic dermatitis 7
DOID:0110104	atopic dermatitis 8
DOID:0110105	atopic dermatitis 9
DOID:0110106	atrial heart septal defect 1
DOID:0110107	atrial heart septal defect 2
DOID:0110108	atrial heart septal defect 3
DOID:0110109	atrial heart septal defect 4
DOID:0110110	atrial heart septal defect 5
DOID:0110111	atrial heart septal defect 6
DOID:0110112	atrial heart septal defect 7
DOID:0110113	atrial heart septal defect 8
DOID:0110114	atrial heart septal defect 9
DOID:0110115	autoimmune lymphoproliferative syndrome type 2A
DOID:0110116	autoimmune lymphoproliferative syndrome type 2B
DOID:0110117	autoimmune lymphoproliferative syndrome type 4
DOID:0110118	Leber congenital amaurosis 16
DOID:0110119	autoimmune lymphoproliferative syndrome type 3
DOID:0110120	Axenfeld-Rieger syndrome type 1
DOID:0110121	Axenfeld-Rieger syndrome type 2
DOID:0110122	Axenfeld-Rieger syndrome type 3
DOID:0110123	Bardet-Biedl syndrome 1
DOID:0110124	Bardet-Biedl syndrome 2
DOID:0110125	Bardet-Biedl syndrome 3
DOID:0110126	Bardet-Biedl syndrome 4
DOID:0110127	Bardet-Biedl syndrome 5
DOID:0110128	Bardet-Biedl syndrome 6
DOID:0110129	Bardet-Biedl syndrome 7
DOID:0110130	Bardet-Biedl syndrome 8
DOID:0110131	Bardet-Biedl syndrome 9
DOID:0110132	Bardet-Biedl syndrome 10
DOID:0110133	Bardet-Biedl syndrome 11
DOID:0110134	Bardet-Biedl syndrome 12
DOID:0110135	Bardet-Biedl syndrome 13
DOID:0110136	Bardet-Biedl syndrome 14
DOID:0110137	Bardet-Biedl syndrome 15
DOID:0110138	Bardet-Biedl syndrome 16
DOID:0110139	Bardet-Biedl syndrome 17
DOID:0110140	Bardet-Biedl syndrome 18
DOID:0110141	Bardet-Biedl syndrome 19
DOID:0110142	Bartter disease type 1
DOID:0110143	Bartter disease type 2
DOID:0110144	Bartter disease type 3
DOID:0110145	Bartter disease type 4a
DOID:0110146	Bartter disease type 4b
DOID:0110147	Bartter disease type 5
DOID:0110148	Charcot-Marie-Tooth disease type 1A
DOID:0110149	Charcot-Marie-Tooth disease type 1F
DOID:0110150	Charcot-Marie-Tooth disease type 1D
DOID:0110151	Charcot-Marie-Tooth disease type 1C
DOID:0110152	Charcot-Marie-Tooth disease type 1B
DOID:0110153	Charcot-Marie-Tooth disease type 1E
DOID:0110154	Charcot-Marie-Tooth disease type 2A1
DOID:0110155	Charcot-Marie-Tooth disease type 2A2
DOID:0110156	Charcot-Marie-Tooth disease type 2B1
DOID:0110157	Charcot-Marie-Tooth disease type 2J
DOID:0110158	Charcot-Marie-Tooth disease type 2I
DOID:0110159	Charcot-Marie-Tooth disease type 2B
DOID:0110160	Charcot-Marie-Tooth disease axonal type 2T
DOID:0110161	Charcot-Marie-Tooth disease type 2R
DOID:0110162	Charcot-Marie-Tooth disease, axonal type 2W
DOID:0110163	Charcot-Marie-Tooth disease axonal type 2F
DOID:0110164	Charcot-Marie-Tooth disease type 2D
DOID:0110165	Charcot-Marie-Tooth disease type 2E
DOID:0110166	Charcot-Marie-Tooth disease axonal type 2H
DOID:0110167	Charcot-Marie-Tooth disease axonal type 2K
DOID:0110168	Charcot-Marie-Tooth disease type 2Y
DOID:0110169	Charcot-Marie-Tooth disease axonal type 2P
DOID:0110170	Charcot-Marie-Tooth disease axonal type 2Q
DOID:0110171	Charcot-Marie-Tooth disease axonal type 2S
DOID:0110172	obsolete Charcot-Marie-Tooth disease axonal type 2G
DOID:0110173	Charcot-Marie-Tooth disease axonal type 2U
DOID:0110174	Charcot-Marie-Tooth disease axonal type 2L
DOID:0110175	Charcot-Marie-Tooth disease axonal type 20
DOID:0110176	Charcot-Marie-Tooth disease axonal type 2X
DOID:0110177	Charcot-Marie-Tooth disease axonal type 2N
DOID:0110178	Charcot-Marie-Tooth disease axonal type 2V
DOID:0110179	Charcot-Marie-Tooth disease type 2B2
DOID:0110180	Charcot-Marie-Tooth disease axonal type 2CC
DOID:0110181	Charcot-Marie-Tooth disease axonal type 2Z
DOID:0110182	Charcot-Marie-Tooth disease axonal type 2C
DOID:0110183	Charcot-Marie-Tooth disease type 4C
DOID:0110184	Charcot-Marie-Tooth disease type 4J
DOID:0110185	Charcot-Marie-Tooth disease type 4A
DOID:0110186	Charcot-Marie-Tooth disease type 4D
DOID:0110187	Charcot-Marie-Tooth disease type 4K
DOID:0110188	Leber congenital amaurosis 14
DOID:0110189	Leber congenital amaurosis 15
DOID:0110190	Charcot-Marie-Tooth disease type 4B2
DOID:0110191	Charcot-Marie-Tooth disease type 4B1
DOID:0110192	Charcot-Marie-Tooth disease type 4H
DOID:0110193	Charcot-Marie-Tooth disease type 4F
DOID:0110194	Charcot-Marie-Tooth disease type 4B3
DOID:0110195	Charcot-Marie-Tooth disease type 4E
DOID:0110196	Charcot-Marie-Tooth disease type 4G
DOID:0110197	Charcot-Marie-Tooth disease dominant intermediate B
DOID:0110198	Charcot-Marie-Tooth disease recessive intermediate C
DOID:0110199	Charcot-Marie-Tooth disease dominant intermediate C
DOID:0110200	Charcot-Marie-Tooth disease dominant intermediate D
DOID:0110201	Charcot-Marie-Tooth disease recessive intermediate A
DOID:0110202	Charcot-Marie-Tooth disease dominant intermediate A
DOID:0110203	Charcot-Marie-Tooth disease recessive intermediate D
DOID:0110204	Charcot-Marie-Tooth disease recessive intermediate B
DOID:0110205	Charcot-Marie-Tooth disease dominant intermediate E
DOID:0110206	Charcot-Marie-Tooth disease dominant intermediate F
DOID:0110207	Charcot-Marie-Tooth disease X-linked dominant 6
DOID:0110208	Charcot-Marie-Tooth disease X-linked recessive 2
DOID:0110209	Charcot-Marie-Tooth disease X-linked dominant 1
DOID:0110210	Charcot-Marie-Tooth disease X-linked recessive 5
DOID:0110211	Charcot-Marie-Tooth disease X-linked recessive 3
DOID:0110212	Charcot-Marie-Tooth disease X-linked recessive 4
DOID:0110213	isolated cleft palate
DOID:0110214	cleft soft palate
DOID:0110215	Leber congenital amaurosis 5
DOID:0110216	Leber congenital amaurosis 11
DOID:0110217	Leber congenital amaurosis 17
DOID:0110218	Brugada syndrome 1
DOID:0110219	Brugada syndrome 2
DOID:0110220	Brugada syndrome 3
DOID:0110221	Brugada syndrome 4
DOID:0110222	Brugada syndrome 5
DOID:0110223	Brugada syndrome 6
DOID:0110224	Brugada syndrome 7
DOID:0110225	Brugada syndrome 8
DOID:0110226	Brugada syndrome 9
DOID:0110227	cataract 32 multiple types
DOID:0110228	cataract 8 multiple types
DOID:0110229	cataract 6 multiple types
DOID:0110230	cataract 34 multiple types
DOID:0110231	cataract 1 multiple types
DOID:0110232	cataract 29
DOID:0110233	cataract 27
DOID:0110234	cataract 4 multiple types
DOID:0110235	cataract 2 multiple types
DOID:0110236	cataract 39 multiple types
DOID:0110237	cataract 42
DOID:0110238	cataract 18
DOID:0110239	cataract 12 multiple types
DOID:0110240	cataract 20 multiple types
DOID:0110241	cataract 41
DOID:0110242	cataract 13 with adult i phenotype
DOID:0110243	cataract 46 juvenile-onset
DOID:0110244	cataract 28
DOID:0110245	cataract 38
DOID:0110246	cataract 26 multiple types
DOID:0110247	cataract 36
DOID:0110248	cataract 30
DOID:0110249	cataract 11 multiple types
DOID:0110250	cataract 16 multiple types
DOID:0110251	cataract 15 multiple types
DOID:0110252	cataract 37
DOID:0110253	cataract 14 multiple types
DOID:0110254	cataract 25
DOID:0110255	cataract 5 multiple types
DOID:0110256	cataract 21 multiple types
DOID:0110257	cataract 24
DOID:0110258	cataract 10 multiple types
DOID:0110259	cataract 43
DOID:0110260	cataract 7
DOID:0110261	cataract 35
DOID:0110262	cataract 45
DOID:0110263	cataract 19 multiple types
DOID:0110264	cataract 33
DOID:0110265	cataract 31 multiple types
DOID:0110266	cataract 9 multiple types
DOID:0110267	cataract 44
DOID:0110268	cataract 22 multiple types
DOID:0110269	cataract 3 multiple types
DOID:0110270	cataract 17 multiple types
DOID:0110271	cataract 23
DOID:0110272	cataract 40
DOID:0110273	autosomal dominant limb-girdle muscular dystrophy
DOID:0110274	autosomal recessive limb-girdle muscular dystrophy
DOID:0110275	autosomal recessive limb-girdle muscular dystrophy type 2A
DOID:0110276	autosomal recessive limb-girdle muscular dystrophy type 2B
DOID:0110277	autosomal recessive limb-girdle muscular dystrophy type 2C
DOID:0110278	autosomal recessive limb-girdle muscular dystrophy type 2D
DOID:0110279	autosomal recessive limb-girdle muscular dystrophy type 2E
DOID:0110280	autosomal recessive limb-girdle muscular dystrophy type 2F
DOID:0110281	autosomal recessive limb-girdle muscular dystrophy type 2G
DOID:0110282	autosomal recessive limb-girdle muscular dystrophy type 2H
DOID:0110283	autosomal recessive limb-girdle muscular dystrophy type 2J
DOID:0110284	autosomal recessive limb-girdle muscular dystrophy type 2L
DOID:0110285	autosomal recessive limb-girdle muscular dystrophy type 2Q
DOID:0110286	autosomal recessive limb-girdle muscular dystrophy type 2R
DOID:0110287	autosomal recessive limb-girdle muscular dystrophy type 2S
DOID:0110288	autosomal recessive limb-girdle muscular dystrophy type 2W
DOID:0110289	autosomal recessive limb-girdle muscular dystrophy type 2Y
DOID:0110290	autosomal recessive limb-girdle muscular dystrophy type 2X
DOID:0110291	Leber congenital amaurosis 10
DOID:0110292	autosomal recessive limb-girdle muscular dystrophy type 2O
DOID:0110293	autosomal recessive limb-girdle muscular dystrophy type 2P
DOID:0110294	autosomal recessive limb-girdle muscular dystrophy type 2T
DOID:0110295	autosomal recessive limb-girdle muscular dystrophy type 2U
DOID:0110296	autosomal recessive limb-girdle muscular dystrophy type 2M
DOID:0110297	autosomal recessive limb-girdle muscular dystrophy type 2K
DOID:0110298	autosomal recessive limb-girdle muscular dystrophy type 2N
DOID:0110299	autosomal recessive limb-girdle muscular dystrophy type 2I
DOID:0110300	autosomal dominant limb-girdle muscular dystrophy type 1A
DOID:0110301	autosomal dominant limb-girdle muscular dystrophy type 1B
DOID:0110302	autosomal dominant limb-girdle muscular dystrophy type 1C
DOID:0110303	autosomal dominant limb-girdle muscular dystrophy type 1H
DOID:0110304	autosomal dominant limb-girdle muscular dystrophy type 1F
DOID:0110305	autosomal dominant limb-girdle muscular dystrophy type 1E
DOID:0110306	autosomal dominant limb-girdle muscular dystrophy type 1G
DOID:0110307	hypertrophic cardiomyopathy 1
DOID:0110308	hypertrophic cardiomyopathy 2
DOID:0110309	hypertrophic cardiomyopathy 3
DOID:0110310	hypertrophic cardiomyopathy 4
DOID:0110311	hypertrophic cardiomyopathy 21
DOID:0110312	hypertrophic cardiomyopathy 6
DOID:0110313	hypertrophic cardiomyopathy 7
DOID:0110314	hypertrophic cardiomyopathy 8
DOID:0110315	hypertrophic cardiomyopathy 9
DOID:0110316	hypertrophic cardiomyopathy 10
DOID:0110317	hypertrophic cardiomyopathy 11
DOID:0110318	hypertrophic cardiomyopathy 12
DOID:0110319	hypertrophic cardiomyopathy 13
DOID:0110320	hypertrophic cardiomyopathy 14
DOID:0110321	hypertrophic cardiomyopathy 15
DOID:0110322	hypertrophic cardiomyopathy 16
DOID:0110323	hypertrophic cardiomyopathy 17
DOID:0110324	hypertrophic cardiomyopathy 18
DOID:0110325	hypertrophic cardiomyopathy 19
DOID:0110326	hypertrophic cardiomyopathy 20
DOID:0110327	hypertrophic cardiomyopathy 26
DOID:0110328	hypertrophic cardiomyopathy 25
DOID:0110329	Leber congenital amaurosis 6
DOID:0110330	Leber congenital amaurosis 13
DOID:0110331	Leber congenital amaurosis 3
DOID:0110332	Leber congenital amaurosis 4
DOID:0110333	Leber congenital amaurosis 7
DOID:0110334	osteogenesis imperfecta type 1
DOID:0110335	osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures
DOID:0110336	osteogenesis imperfecta type 8
DOID:0110337	osteogenesis imperfecta type 7
DOID:0110338	osteogenesis imperfecta type 17
DOID:0110339	osteogenesis imperfecta type 3
DOID:0110340	osteogenesis imperfecta type 4
DOID:0110341	osteogenesis imperfecta type 2
DOID:0110342	osteogenesis imperfecta type 13
DOID:0110343	osteogenesis imperfecta type 14
DOID:0110344	osteogenesis imperfecta type 5
DOID:0110345	osteogenesis imperfecta type 16
DOID:0110346	osteogenesis imperfecta type 10
DOID:0110347	osteogenesis imperfecta type 15
DOID:0110348	osteogenesis imperfecta type 12
DOID:0110349	osteogenesis imperfecta type 9
DOID:0110350	osteogenesis imperfecta type 6
DOID:0110351	osteogenesis imperfecta type 11
DOID:0110352	retinitis pigmentosa 59
DOID:0110353	retinitis pigmentosa 20
DOID:0110354	retinitis pigmentosa 19
DOID:0110355	retinitis pigmentosa 32
DOID:0110356	retinitis pigmentosa 18
DOID:0110357	retinitis pigmentosa 35
DOID:0110358	retinitis pigmentosa 12
DOID:0110359	retinitis pigmentosa 67
DOID:0110360	retinitis pigmentosa 39
DOID:0110361	retinitis pigmentosa 75
DOID:0110362	retinitis pigmentosa 58
DOID:0110363	retinitis pigmentosa 71
DOID:0110364	retinitis pigmentosa 54
DOID:0110365	retinitis pigmentosa 28
DOID:0110366	retinitis pigmentosa 33
DOID:0110367	retinitis pigmentosa 38
DOID:0110368	retinitis pigmentosa 26
DOID:0110369	retinitis pigmentosa 47
DOID:0110370	retinitis pigmentosa 55
DOID:0110371	retinitis pigmentosa 56
DOID:0110372	retinitis pigmentosa 4
DOID:0110373	retinitis pigmentosa 61
DOID:0110374	retinitis pigmentosa 68
DOID:0110375	retinitis pigmentosa 40
DOID:0110376	retinitis pigmentosa 41
DOID:0110377	retinitis pigmentosa 49
DOID:0110378	retinitis pigmentosa 29
DOID:0110379	retinitis pigmentosa 43
DOID:0110380	retinitis pigmentosa 62
DOID:0110381	retinitis pigmentosa 14
DOID:0110382	retinitis pigmentosa 48
DOID:0110383	retinitis pigmentosa 7
DOID:0110384	retinitis pigmentosa 25
DOID:0110385	retinitis pigmentosa 63
DOID:0110386	retinitis pigmentosa 42
DOID:0110387	retinitis pigmentosa 9
DOID:0110388	retinitis pigmentosa 10
DOID:0110389	retinitis pigmentosa 73
DOID:0110390	retinitis pigmentosa 1
DOID:0110391	retinitis pigmentosa 31
DOID:0110392	retinitis pigmentosa 70
DOID:0110393	retinitis pigmentosa 66
DOID:0110394	retinitis pigmentosa 44
DOID:0110395	retinitis pigmentosa 72
DOID:0110396	retinitis pigmentosa 50
DOID:0110397	retinitis pigmentosa 27
DOID:0110398	retinitis pigmentosa 51
DOID:0110399	retinitis pigmentosa 37
DOID:0110400	retinitis pigmentosa 22
DOID:0110401	retinitis pigmentosa 74
DOID:0110402	retinitis pigmentosa 45
DOID:0110403	retinitis pigmentosa 13
DOID:0110404	retinitis pigmentosa 17
DOID:0110405	retinitis pigmentosa 36
DOID:0110406	retinitis pigmentosa 30
DOID:0110407	retinitis pigmentosa 57
DOID:0110408	retinitis pigmentosa 11
DOID:0110409	retinitis pigmentosa 46
DOID:0110410	retinitis pigmentosa 69
DOID:0110411	retinitis pigmentosa 60
DOID:0110412	retinitis pigmentosa 23
DOID:0110413	retinitis pigmentosa 6
DOID:0110414	retinitis pigmentosa 3
DOID:0110415	retinitis pigmentosa 2
DOID:0110416	retinitis pigmentosa 24
DOID:0110417	retinitis pigmentosa 34
DOID:0110418	retinitis pigmentosa Y-linked
DOID:0110419	retinitis pigmentosa with or without situs inversus
DOID:0110420	dominant pericentral pigmentary retinopathy
DOID:0110421	late-adult onset retinitis pigmentosa
DOID:0110422	autosomal recessive pericentral pigmentary retinopathy
DOID:0110423	dilated cardiomyopathy 1C
DOID:0110424	dilated cardiomyopathy 1CC
DOID:0110425	dilated cardiomyopathy 1A
DOID:0110426	dilated cardiomyopathy 1D
DOID:0110427	dilated cardiomyopathy 1V
DOID:0110428	dilated cardiomyopathy 1AA
DOID:0110429	dilated cardiomyopathy 1H
DOID:0110430	dilated cardiomyopathy 1G
DOID:0110431	dilated cardiomyopathy 1I
DOID:0110432	dilated cardiomyopathy 1NN
DOID:0110433	dilated cardiomyopathy 1E
DOID:0110434	dilated cardiomyopathy 1Z
DOID:0110435	dilated cardiomyopathy 1GG
DOID:0110436	dilated cardiomyopathy 1L
DOID:0110437	dilated cardiomyopathy 1K
DOID:0110438	dilated cardiomyopathy 1JJ
DOID:0110439	dilated cardiomyopathy 1P
DOID:0110440	dilated cardiomyopathy 1J
DOID:0110441	dilated cardiomyopathy 2B
DOID:0110442	dilated cardiomyopathy 1Q
DOID:0110443	dilated cardiomyopathy 1B
DOID:0110444	dilated cardiomyopathy 1X
DOID:0110445	dilated cardiomyopathy 1KK
DOID:0110446	dilated cardiomyopathy 1W
DOID:0110447	dilated cardiomyopathy 1DD
DOID:0110448	dilated cardiomyopathy 1HH
DOID:0110449	dilated cardiomyopathy 1M
DOID:0110450	dilated cardiomyopathy 1II
DOID:0110451	dilated cardiomyopathy 1O
DOID:0110452	dilated cardiomyopathy 1T
DOID:0110453	dilated cardiomyopathy 1EE
DOID:0110454	dilated cardiomyopathy 1S
DOID:0110455	dilated cardiomyopathy 1U
DOID:0110456	dilated cardiomyopathy 1R
DOID:0110457	dilated cardiomyopathy 1Y
DOID:0110458	dilated cardiomyopathy 1BB
DOID:0110459	dilated cardiomyopathy 1FF
DOID:0110460	dilated cardiomyopathy 2A
DOID:0110461	dilated cardiomyopathy 3B
DOID:0110462	autosomal recessive nonsyndromic deafness 101
DOID:0110463	autosomal recessive nonsyndromic deafness 102
DOID:0110464	autosomal recessive nonsyndromic deafness 103
DOID:0110465	autosomal recessive nonsyndromic deafness 104
DOID:0110466	autosomal recessive nonsyndromic deafness 105
DOID:0110467	autosomal recessive nonsyndromic deafness 12
DOID:0110468	autosomal recessive nonsyndromic deafness 13
DOID:0110469	autosomal recessive nonsyndromic deafness 14
DOID:0110470	autosomal recessive nonsyndromic deafness 15
DOID:0110471	autosomal recessive nonsyndromic deafness 16
DOID:0110472	autosomal recessive nonsyndromic deafness 17
DOID:0110473	autosomal recessive nonsyndromic deafness 18A
DOID:0110474	autosomal recessive nonsyndromic deafness 18B
DOID:0110475	autosomal recessive nonsyndromic deafness 1A
DOID:0110476	autosomal recessive nonsyndromic deafness 1B
DOID:0110477	autosomal recessive nonsyndromic deafness 2
DOID:0110478	autosomal recessive nonsyndromic deafness 20
DOID:0110479	autosomal recessive nonsyndromic deafness 21
DOID:0110480	autosomal recessive nonsyndromic deafness 22
DOID:0110481	autosomal recessive nonsyndromic deafness 23
DOID:0110482	autosomal recessive nonsyndromic deafness 24
DOID:0110483	autosomal recessive nonsyndromic deafness 25
DOID:0110484	autosomal recessive nonsyndromic deafness 26
DOID:0110485	autosomal recessive nonsyndromic deafness 27
DOID:0110486	autosomal recessive nonsyndromic deafness 28
DOID:0110487	autosomal recessive nonsyndromic deafness 29
DOID:0110488	autosomal recessive nonsyndromic deafness 3
DOID:0110489	autosomal recessive nonsyndromic deafness 30
DOID:0110490	autosomal recessive nonsyndromic deafness 31
DOID:0110491	autosomal recessive nonsyndromic deafness 32
DOID:0110492	autosomal recessive nonsyndromic deafness 33
DOID:0110493	autosomal recessive nonsyndromic deafness 35
DOID:0110494	autosomal recessive nonsyndromic deafness 36
DOID:0110495	autosomal recessive nonsyndromic deafness 37
DOID:0110496	autosomal recessive nonsyndromic deafness 38
DOID:0110497	autosomal recessive nonsyndromic deafness 39
DOID:0110498	autosomal recessive nonsyndromic deafness 4
DOID:0110499	autosomal recessive nonsyndromic deafness 40
DOID:0110500	autosomal recessive nonsyndromic deafness 42
DOID:0110501	autosomal recessive nonsyndromic deafness 44
DOID:0110502	autosomal recessive nonsyndromic deafness 45
DOID:0110503	autosomal recessive nonsyndromic deafness 46
DOID:0110504	autosomal recessive nonsyndromic deafness 47
DOID:0110505	autosomal recessive nonsyndromic deafness 48
DOID:0110506	autosomal recessive nonsyndromic deafness 49
DOID:0110507	autosomal recessive nonsyndromic deafness 5
DOID:0110508	autosomal recessive nonsyndromic deafness 51
DOID:0110509	autosomal recessive nonsyndromic deafness 53
DOID:0110510	autosomal recessive nonsyndromic deafness 55
DOID:0110511	autosomal recessive nonsyndromic deafness 59
DOID:0110512	autosomal recessive nonsyndromic deafness 6
DOID:0110513	autosomal recessive nonsyndromic deafness 61
DOID:0110514	autosomal recessive nonsyndromic deafness 62
DOID:0110515	autosomal recessive nonsyndromic deafness 63
DOID:0110516	autosomal recessive nonsyndromic deafness 65
DOID:0110517	autosomal recessive nonsyndromic deafness 66
DOID:0110518	autosomal recessive nonsyndromic deafness 67
DOID:0110519	autosomal recessive nonsyndromic deafness 68
DOID:0110520	autosomal recessive nonsyndromic deafness 7
DOID:0110521	autosomal recessive nonsyndromic deafness 70
DOID:0110522	autosomal recessive nonsyndromic deafness 71
DOID:0110523	autosomal recessive nonsyndromic deafness 74
DOID:0110524	autosomal recessive nonsyndromic deafness 76
DOID:0110525	autosomal recessive nonsyndromic deafness 77
DOID:0110526	autosomal recessive nonsyndromic deafness 79
DOID:0110527	autosomal recessive nonsyndromic deafness 8
DOID:0110528	autosomal recessive nonsyndromic deafness 83
DOID:0110529	autosomal recessive nonsyndromic deafness 84A
DOID:0110530	autosomal recessive nonsyndromic deafness 84B
DOID:0110531	autosomal recessive nonsyndromic deafness 85
DOID:0110532	autosomal recessive nonsyndromic deafness 86
DOID:0110533	autosomal recessive nonsyndromic deafness 88
DOID:0110534	autosomal recessive nonsyndromic deafness 89
DOID:0110535	autosomal recessive nonsyndromic deafness 9
DOID:0110536	autosomal recessive nonsyndromic deafness 91
DOID:0110537	autosomal recessive nonsyndromic deafness 93
DOID:0110538	autosomal recessive nonsyndromic deafness 96
DOID:0110539	autosomal recessive nonsyndromic deafness 97
DOID:0110540	autosomal recessive nonsyndromic deafness 98
DOID:0110541	autosomal dominant nonsyndromic deafness 1
DOID:0110542	autosomal dominant nonsyndromic deafness 10
DOID:0110543	autosomal dominant nonsyndromic deafness 11
DOID:0110544	autosomal dominant nonsyndromic deafness 12
DOID:0110545	autosomal dominant nonsyndromic deafness 13
DOID:0110546	autosomal dominant nonsyndromic deafness 15
DOID:0110547	autosomal dominant nonsyndromic deafness 16
DOID:0110548	autosomal dominant nonsyndromic deafness 17
DOID:0110549	autosomal dominant nonsyndromic deafness 18
DOID:0110550	autosomal dominant nonsyndromic deafness 20
DOID:0110551	autosomal dominant nonsyndromic deafness 21
DOID:0110552	autosomal dominant nonsyndromic deafness 22
DOID:0110553	autosomal dominant nonsyndromic deafness 23
DOID:0110554	autosomal dominant nonsyndromic deafness 24
DOID:0110555	autosomal dominant nonsyndromic deafness 25
DOID:0110556	autosomal dominant nonsyndromic deafness 27
DOID:0110557	autosomal dominant nonsyndromic deafness 28
DOID:0110558	autosomal dominant nonsyndromic deafness 2A
DOID:0110559	autosomal dominant nonsyndromic deafness 2B
DOID:0110560	autosomal dominant nonsyndromic deafness 30
DOID:0110561	autosomal dominant nonsyndromic deafness 31
DOID:0110562	autosomal dominant nonsyndromic deafness 33
DOID:0110563	autosomal dominant nonsyndromic deafness 36
DOID:0110564	autosomal dominant nonsyndromic deafness 3A
DOID:0110565	autosomal dominant nonsyndromic deafness 3B
DOID:0110566	autosomal dominant nonsyndromic deafness 40
DOID:0110567	autosomal dominant nonsyndromic deafness 41
DOID:0110568	autosomal dominant nonsyndromic deafness 43
DOID:0110569	autosomal dominant nonsyndromic deafness 44
DOID:0110570	autosomal dominant nonsyndromic deafness 47
DOID:0110571	autosomal dominant nonsyndromic deafness 48
DOID:0110572	autosomal dominant nonsyndromic deafness 49
DOID:0110573	autosomal dominant nonsyndromic deafness 4A
DOID:0110574	autosomal dominant nonsyndromic deafness 4B
DOID:0110575	autosomal dominant nonsyndromic deafness 5
DOID:0110576	autosomal dominant nonsyndromic deafness 50
DOID:0110577	autosomal dominant nonsyndromic deafness 51
DOID:0110578	autosomal dominant nonsyndromic deafness 52
DOID:0110579	autosomal dominant nonsyndromic deafness 53
DOID:0110580	autosomal dominant nonsyndromic deafness 54
DOID:0110581	autosomal dominant nonsyndromic deafness 56
DOID:0110582	autosomal dominant nonsyndromic deafness 58
DOID:0110583	autosomal dominant nonsyndromic deafness 59
DOID:0110584	autosomal dominant nonsyndromic deafness 6
DOID:0110585	autosomal dominant nonsyndromic deafness 64
DOID:0110586	autosomal dominant nonsyndromic deafness 65
DOID:0110587	autosomal dominant nonsyndromic deafness 66
DOID:0110588	autosomal dominant nonsyndromic deafness 67
DOID:0110589	autosomal dominant nonsyndromic deafness 68
DOID:0110590	autosomal dominant nonsyndromic deafness 69
DOID:0110591	autosomal dominant nonsyndromic deafness 7
DOID:0110592	autosomal dominant nonsyndromic deafness 70
DOID:0110593	autosomal dominant nonsyndromic deafness 9
DOID:0110594	primary ciliary dyskinesia 1
DOID:0110595	Stromme syndrome
DOID:0110596	primary ciliary dyskinesia 21
DOID:0110597	primary ciliary dyskinesia 22
DOID:0110598	primary ciliary dyskinesia 14
DOID:0110599	primary ciliary dyskinesia 3
DOID:0110600	primary ciliary dyskinesia 29
DOID:0110601	primary ciliary dyskinesia 12
DOID:0110602	primary ciliary dyskinesia 11
DOID:0110603	primary ciliary dyskinesia 32
DOID:0110604	primary ciliary dyskinesia 18
DOID:0110605	primary ciliary dyskinesia 7
DOID:0110606	primary ciliary dyskinesia 6
DOID:0110607	primary ciliary dyskinesia 28
DOID:0110608	primary ciliary dyskinesia 19
DOID:0110609	primary ciliary dyskinesia 23
DOID:0110610	primary ciliary dyskinesia 34
DOID:0110611	primary ciliary dyskinesia 27
DOID:0110612	primary ciliary dyskinesia 10
DOID:0110613	primary ciliary dyskinesia 16
DOID:0110614	primary ciliary dyskinesia 4
DOID:0110615	primary ciliary dyskinesia 25
DOID:0110616	primary ciliary dyskinesia 8
DOID:0110617	primary ciliary dyskinesia 5
DOID:0110618	primary ciliary dyskinesia 13
DOID:0110619	primary ciliary dyskinesia 33
DOID:0110620	primary ciliary dyskinesia 35
DOID:0110621	primary ciliary dyskinesia 17
DOID:0110622	primary ciliary dyskinesia 9
DOID:0110623	primary ciliary dyskinesia 15
DOID:0110624	primary ciliary dyskinesia 30
DOID:0110625	primary ciliary dyskinesia 20
DOID:0110626	primary ciliary dyskinesia 2
DOID:0110627	primary ciliary dyskinesia 26
DOID:0110628	primary ciliary dyskinesia 24
DOID:0110629	Wolfram syndrome 1
DOID:0110630	Wolfram syndrome 2
DOID:0110631	arthrogryposis due to muscular dystrophy
DOID:0110632	megaconial type congenital muscular dystrophy
DOID:0110633	rigid spine muscular dystrophy 1
DOID:0110634	congenital muscular dystrophy 1B
DOID:0110635	muscular dystrophy-dystroglycanopathy type B5
