DOID:0001816	DOID:1115 ! sarcoma
DOID:0080079	DOID:4123 ! nail disease
DOID:0080080	DOID:4123 ! nail disease
DOID:0080081	DOID:4123 ! nail disease
DOID:0080082	DOID:4123 ! nail disease
DOID:0080083	DOID:4123 ! nail disease
DOID:0080084	DOID:4123 ! nail disease
DOID:0080085	DOID:4123 ! nail disease
DOID:0080086	DOID:4123 ! nail disease
DOID:0080087	DOID:4123 ! nail disease
DOID:0080088	DOID:4123 ! nail disease
DOID:0080089	DOID:423 ! myopathy
DOID:0080090	DOID:423 ! myopathy
DOID:0080091	DOID:423 ! myopathy
DOID:0080092	DOID:423 ! myopathy
DOID:0080093	DOID:423 ! myopathy
DOID:0080094	DOID:423 ! myopathy
DOID:0080095	DOID:423 ! myopathy
DOID:0080096	DOID:423 ! myopathy
DOID:0080097	DOID:423 ! myopathy
DOID:0080098	DOID:423 ! myopathy
DOID:0080099	DOID:423 ! myopathy
DOID:0080100	DOID:423 ! myopathy
DOID:0080101	DOID:0080100 ! congenital myopathy
DOID:0080102	DOID:0080100 ! congenital myopathy
DOID:0080103	DOID:0080100 ! congenital myopathy
DOID:0080105	DOID:225 ! syndrome
DOID:0080106	DOID:225 ! syndrome
DOID:0080107	DOID:225 ! syndrome
DOID:0080108	DOID:423 ! myopathy
DOID:0080109	DOID:0060123 ! connective tissue benign neoplasm
DOID:0080110	DOID:630 ! genetic disease
DOID:0080111	DOID:700 ! mitochondrial metabolism disease
DOID:0080112	DOID:700 ! mitochondrial metabolism disease
DOID:0080113	DOID:700 ! mitochondrial metabolism disease
DOID:0080114	DOID:700 ! mitochondrial metabolism disease
DOID:0080115	DOID:700 ! mitochondrial metabolism disease
DOID:0080116	DOID:700 ! mitochondrial metabolism disease
DOID:0080117	DOID:700 ! mitochondrial metabolism disease
DOID:0080118	DOID:700 ! mitochondrial metabolism disease
DOID:0080119	DOID:700 ! mitochondrial metabolism disease
DOID:0080120	DOID:700 ! mitochondrial metabolism disease
DOID:0080121	DOID:700 ! mitochondrial metabolism disease
DOID:0080122	DOID:700 ! mitochondrial metabolism disease
DOID:0080123	DOID:700 ! mitochondrial metabolism disease
DOID:0080124	DOID:700 ! mitochondrial metabolism disease
DOID:0080125	DOID:700 ! mitochondrial metabolism disease
DOID:0080126	DOID:700 ! mitochondrial metabolism disease
DOID:0080127	DOID:700 ! mitochondrial metabolism disease
DOID:0080128	DOID:700 ! mitochondrial metabolism disease
DOID:0080129	DOID:700 ! mitochondrial metabolism disease
DOID:0080130	DOID:700 ! mitochondrial metabolism disease
DOID:0080131	DOID:700 ! mitochondrial metabolism disease
DOID:0080132	DOID:700 ! mitochondrial metabolism disease
DOID:0080133	DOID:700 ! mitochondrial metabolism disease
DOID:0080134	DOID:700 ! mitochondrial metabolism disease
DOID:0080135	DOID:700 ! mitochondrial metabolism disease
DOID:0080136	DOID:700 ! mitochondrial metabolism disease
DOID:0080137	DOID:0050736 ! autosomal dominant disease
DOID:0080138	DOID:225 ! syndrome
DOID:0080139	DOID:225 ! syndrome
DOID:0080140	DOID:225 ! syndrome
DOID:0080141	DOID:225 ! syndrome
DOID:0080142	DOID:225 ! syndrome
DOID:0080143	DOID:1279 ! ocular motility disease
DOID:0080144	DOID:9952 ! acute lymphocytic leukemia
DOID:0080145	DOID:0080144 ! childhood acute lymphocytic leukemia
DOID:0080146	DOID:0080144 ! childhood acute lymphocytic leukemia
DOID:0080147	DOID:0060058 ! lymphoma
DOID:0080148	DOID:0080147 ! lymphoblastic lymphoma
DOID:0080149	DOID:8864 ! acute monocytic leukemia
DOID:0080150	DOID:9406 ! hypopituitarism
DOID:0080153	DOID:3146 ! lipid metabolism disorder
DOID:0080154	DOID:3146 ! lipid metabolism disorder
DOID:0080155	DOID:3146 ! lipid metabolism disorder
DOID:0080156	DOID:10493 ! adrenal cortical hypofunction
DOID:0080158	DOID:4677 ! keratitis
DOID:0080159	DOID:11608 ! fungal meningitis
DOID:0080160	DOID:3612 ! retinitis
DOID:0080161	DOID:1508 ! candidiasis
DOID:0080162	DOID:2921 ! glomerulonephritis
DOID:0080163	DOID:2914 ! immune system disease
DOID:0080164	DOID:0070004 ! myeloid neoplasm
DOID:0080165	DOID:0080164 ! myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1
DOID:0080166	DOID:0080164 ! myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1
DOID:0080167	DOID:0080164 ! myeloid and lymphoid neoplasms with eosinophilia and abnormalities of PDGFRA, PDGFRB, and FGFR1
DOID:0080169	DOID:0050826 ! tricuspid valve disease
DOID:0080170	DOID:182 ! calcinosis
DOID:0080171	DOID:77 ! gastrointestinal system disease
DOID:0080172	DOID:655 ! inherited metabolic disorder
DOID:0080173	DOID:0080015 ! physical disorder
DOID:0080174	DOID:0080173 ! bladder exstrophy-epispadias-cloacal exstrophy complex
DOID:0080175	DOID:0080173 ! bladder exstrophy-epispadias-cloacal exstrophy complex
DOID:0080176	DOID:9470 ! bacterial meningitis
DOID:0080177	DOID:272 ! hepatic vascular disease
DOID:0080178	DOID:77 ! gastrointestinal system disease
DOID:0080179	DOID:9470 ! bacterial meningitis
DOID:0080180	DOID:225 ! syndrome
DOID:0080181	DOID:0050737 ! autosomal recessive disease
DOID:0080182	DOID:5015 ! fibrolamellar carcinoma
DOID:0080183	DOID:1520 ! colon carcinoma
DOID:0080184	DOID:4926 ! bronchiolo-alveolar adenocarcinoma
DOID:0080185	DOID:4926 ! bronchiolo-alveolar adenocarcinoma
DOID:0080186	DOID:4926 ! bronchiolo-alveolar adenocarcinoma
DOID:0080187	DOID:1036 ! chronic leukemia
DOID:0080188	DOID:1036 ! chronic leukemia
DOID:0080189	DOID:0050687 ! cell type cancer
DOID:0080190	DOID:0080189 ! malignant hemangioma
DOID:0080191	DOID:225 ! syndrome
DOID:0080192	DOID:0050745 ! diffuse large B-cell lymphoma
DOID:0080193	DOID:2952 ! inner ear disease
DOID:0080194	DOID:225 ! syndrome
DOID:0080195	DOID:0050737 ! autosomal recessive disease
DOID:0080196	DOID:0050736 ! autosomal dominant disease
DOID:0080197	DOID:0050557 ! congenital muscular dystrophy
DOID:0080198	DOID:0060036 ! intrinsic cardiomyopathy
DOID:0090001	DOID:0050737 ! autosomal recessive disease
DOID:0090002	DOID:0050177 ! monogenic disease
DOID:0090003	DOID:1289 ! neurodegenerative disease
DOID:0090004	DOID:2256 ! osteochondrodysplasia
DOID:0090005	DOID:0050737 ! autosomal recessive disease
DOID:0090006	DOID:0050736 ! autosomal dominant disease
DOID:0090007	DOID:0050737 ! autosomal recessive disease
DOID:0090008	DOID:0090007 ! immunodeficiency-centromeric instability-facial anomalies syndrome
DOID:0090009	DOID:0090007 ! immunodeficiency-centromeric instability-facial anomalies syndrome
DOID:0090010	DOID:0090007 ! immunodeficiency-centromeric instability-facial anomalies syndrome
DOID:0090011	DOID:0090007 ! immunodeficiency-centromeric instability-facial anomalies syndrome
DOID:0090012	DOID:627 ! severe combined immunodeficiency
DOID:0090013	DOID:627 ! severe combined immunodeficiency
DOID:0090014	DOID:627 ! severe combined immunodeficiency
DOID:0090015	DOID:1934 ! dysostosis
DOID:0090016	DOID:2361 ! macrocytic anemia
DOID:0090017	DOID:0050737 ! autosomal recessive disease
DOID:0090018	DOID:417 ! hypersensitivity reaction type II disease
DOID:0090019	DOID:5295 ! intestinal disease
DOID:0090020	DOID:0080006 ! bone development disease
DOID:0090021	DOID:0090020 ! split hand-foot malformation
DOID:0090022	DOID:0090020 ! split hand-foot malformation
DOID:0090023	DOID:0090020 ! split hand-foot malformation
DOID:0090024	DOID:0090020 ! split hand-foot malformation
DOID:0090025	DOID:0090020 ! split hand-foot malformation
DOID:0090026	DOID:0090020 ! split hand-foot malformation
DOID:0090027	DOID:0090020 ! split hand-foot malformation
DOID:0090028	DOID:0050718 ! vitamin metabolic disorder
DOID:0090029	DOID:417 ! hypersensitivity reaction type II disease
DOID:0090030	DOID:9553 ! adrenal gland disease
DOID:0090031	DOID:906 ! peroxisomal disease
DOID:0090032	DOID:2256 ! osteochondrodysplasia
DOID:0090033	DOID:543 ! dystonia
DOID:0090034	DOID:0090033 ! myoclonic dystonia
DOID:0090035	DOID:0090033 ! myoclonic dystonia
DOID:0090036	DOID:0090033 ! myoclonic dystonia
DOID:0090037	DOID:543 ! dystonia
DOID:0090038	DOID:543 ! dystonia
DOID:0090039	DOID:0050835 ! generalized dystonia
DOID:0090040	DOID:0050836 ! focal dystonia
DOID:0090041	DOID:543 ! dystonia
DOID:0090042	DOID:543 ! dystonia
DOID:0090043	DOID:543 ! dystonia
DOID:0090044	DOID:543 ! dystonia
DOID:0090045	DOID:543 ! dystonia
DOID:0090046	DOID:543 ! dystonia
DOID:0090047	DOID:543 ! dystonia
DOID:0090048	DOID:0050837 ! multifocal dystonia
DOID:0090049	DOID:543 ! dystonia
DOID:0090050	DOID:0050838 ! segmental dystonia
DOID:0090051	DOID:0050836 ! focal dystonia
DOID:0090052	DOID:0050836 ! focal dystonia
DOID:0090053	DOID:543 ! dystonia
DOID:0090054	DOID:543 ! dystonia
DOID:0090055	DOID:0050837 ! multifocal dystonia
DOID:0090056	DOID:543 ! dystonia
DOID:0090057	DOID:0050836 ! focal dystonia
DOID:0090058	DOID:0050835 ! generalized dystonia
DOID:0090059	DOID:5679 ! retinal disease
DOID:0090060	DOID:0050737 ! autosomal recessive disease
DOID:0090061	DOID:612 ! primary immunodeficiency disease
DOID:0090062	DOID:0090061 ! familial cold autoinflammatory syndrome
DOID:0090063	DOID:0090061 ! familial cold autoinflammatory syndrome
DOID:0090064	DOID:0090061 ! familial cold autoinflammatory syndrome
DOID:0090065	DOID:0090061 ! familial cold autoinflammatory syndrome
DOID:0090066	DOID:225 ! syndrome
DOID:0090067	DOID:0080006 ! bone development disease
DOID:0090068	DOID:7319 ! axonal neuropathy
DOID:0090069	DOID:7319 ! axonal neuropathy
DOID:0090070	DOID:1924 ! hypogonadism
DOID:0090071	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090072	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090073	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090074	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090075	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090076	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090077	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090078	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090079	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090080	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090081	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090082	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090083	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090084	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090085	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090086	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090087	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090088	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090089	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090090	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090091	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090092	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090093	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090094	DOID:0090070 ! hypogonadotropic hypogonadism
DOID:0090100	DOID:630 ! genetic disease
DOID:0090101	DOID:2747 ! glycogen storage disease
DOID:0090102	DOID:1588 ! thrombocytopenia
DOID:0090103	DOID:649 ! prion disease
DOID:0090104	DOID:1289 ! neurodegenerative disease
DOID:0090105	DOID:13810 ! familial hypercholesterolemia
DOID:0090106	DOID:9252 ! amino acid metabolic disorder
DOID:0090107	DOID:0090109 ! autosomal dominant hypocalcemia
DOID:0090108	DOID:0090109 ! autosomal dominant hypocalcemia
DOID:0090109	DOID:10575 ! calcium metabolism disease
DOID:0090110	DOID:0060056 ! hypersensitivity reaction disease
DOID:0090111	DOID:0050736 ! autosomal dominant disease
DOID:0090112	DOID:0050737 ! autosomal recessive disease
DOID:0090113	DOID:0050737 ! autosomal recessive disease
DOID:0090114	DOID:8500 ! hereditary retinal dystrophy
DOID:0090115	DOID:863 ! nervous system disease
DOID:0090116	DOID:0080006 ! bone development disease
DOID:0090117	DOID:0050737 ! autosomal recessive disease
DOID:0090118	DOID:1588 ! thrombocytopenia
DOID:0090119	DOID:0050736 ! autosomal dominant disease
DOID:0090120	DOID:9500 ! leukocyte disease
DOID:0090121	DOID:3947 ! adrenal gland hyperfunction
DOID:0090122	DOID:15 ! reproductive system disease
DOID:0090123	DOID:655 ! inherited metabolic disorder
DOID:0090124	DOID:863 ! nervous system disease
DOID:0090125	DOID:936 ! brain disease
DOID:0090126	DOID:0050737 ! autosomal recessive disease
DOID:0090127	DOID:0050737 ! autosomal recessive disease
DOID:0090128	DOID:0050737 ! autosomal recessive disease
DOID:0090129	DOID:3146 ! lipid metabolism disorder
DOID:0090130	DOID:936 ! brain disease
DOID:0090131	DOID:936 ! brain disease
DOID:0090132	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090133	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090134	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090135	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090136	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090137	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090138	DOID:0090131 ! complex cortical dysplasia with other brain malformations
DOID:0090139	DOID:28 ! endocrine system disease
DOID:0090140	DOID:0090139 ! cortisone reductase deficiency
DOID:0090141	DOID:0090139 ! cortisone reductase deficiency
DOID:0090142	DOID:9252 ! amino acid metabolic disorder
DOID:0090143	DOID:0050737 ! autosomal recessive disease
DOID:0090144	DOID:0050737 ! autosomal recessive disease
DOID:0090145	DOID:655 ! inherited metabolic disorder
DOID:0110000	DOID:0060336 ! 3-methylglutaconic aciduria
DOID:0110001	DOID:0060336 ! 3-methylglutaconic aciduria
DOID:0110002	DOID:0060336 ! 3-methylglutaconic aciduria
DOID:0110003	DOID:0060336 ! 3-methylglutaconic aciduria
DOID:0110004	DOID:0060336 ! 3-methylglutaconic aciduria
DOID:0110005	DOID:14791 ! Leber congenital amaurosis
DOID:0110006	DOID:0060336 ! 3-methylglutaconic aciduria
DOID:0110007	DOID:13911 ! achromatopsia
DOID:0110008	DOID:13911 ! achromatopsia
DOID:0110009	DOID:13911 ! achromatopsia
DOID:0110010	DOID:13911 ! achromatopsia
DOID:0110011	DOID:0050628 ! advanced sleep phase syndrome
DOID:0110012	DOID:0050628 ! advanced sleep phase syndrome
DOID:0110013	DOID:0050628 ! advanced sleep phase syndrome
DOID:0110014	DOID:10871 ! age related macular degeneration
DOID:0110015	DOID:10871 ! age related macular degeneration
DOID:0110016	DOID:14791 ! Leber congenital amaurosis
DOID:0110017	DOID:10871 ! age related macular degeneration
DOID:0110018	DOID:10871 ! age related macular degeneration
DOID:0110019	DOID:10871 ! age related macular degeneration
DOID:0110020	DOID:10871 ! age related macular degeneration
DOID:0110021	DOID:10871 ! age related macular degeneration
DOID:0110022	DOID:10871 ! age related macular degeneration
DOID:0110023	DOID:10871 ! age related macular degeneration
DOID:0110024	DOID:10871 ! age related macular degeneration
DOID:0110025	DOID:10871 ! age related macular degeneration
DOID:0110026	DOID:10871 ! age related macular degeneration
DOID:0110027	DOID:10871 ! age related macular degeneration
DOID:0110028	DOID:10871 ! age related macular degeneration
DOID:0110029	DOID:1099 ! alpha thalassemia
DOID:0110030	DOID:1099 ! alpha thalassemia
DOID:0110031	DOID:1099 ! alpha thalassemia
DOID:0110032	DOID:10983 ! Alport syndrome
DOID:0110033	DOID:10983 ! Alport syndrome
DOID:0110034	DOID:10983 ! Alport syndrome
DOID:0110035	DOID:10652 ! Alzheimer's disease
DOID:0110036	DOID:10652 ! Alzheimer's disease
DOID:0110037	DOID:10652 ! Alzheimer's disease
DOID:0110038	DOID:10652 ! Alzheimer's disease
DOID:0110039	DOID:10652 ! Alzheimer's disease
DOID:0110040	DOID:10652 ! Alzheimer's disease
DOID:0110041	DOID:10652 ! Alzheimer's disease
DOID:0110042	DOID:10652 ! Alzheimer's disease
DOID:0110043	DOID:10652 ! Alzheimer's disease
DOID:0110044	DOID:10652 ! Alzheimer's disease
DOID:0110045	DOID:10652 ! Alzheimer's disease
DOID:0110046	DOID:10652 ! Alzheimer's disease
DOID:0110047	DOID:10652 ! Alzheimer's disease
DOID:0110048	DOID:10652 ! Alzheimer's disease
DOID:0110049	DOID:10652 ! Alzheimer's disease
DOID:0110050	DOID:10652 ! Alzheimer's disease
DOID:0110051	DOID:10652 ! Alzheimer's disease
DOID:0110052	DOID:2187 ! amelogenesis imperfecta
DOID:0110053	DOID:2187 ! amelogenesis imperfecta
DOID:0110054	DOID:2187 ! amelogenesis imperfecta
DOID:0110055	DOID:2187 ! amelogenesis imperfecta
DOID:0110056	DOID:2187 ! amelogenesis imperfecta
DOID:0110057	DOID:2187 ! amelogenesis imperfecta
DOID:0110058	DOID:2187 ! amelogenesis imperfecta
DOID:0110059	DOID:2187 ! amelogenesis imperfecta
DOID:0110060	DOID:2187 ! amelogenesis imperfecta
DOID:0110061	DOID:2187 ! amelogenesis imperfecta
DOID:0110062	DOID:2187 ! amelogenesis imperfecta
DOID:0110063	DOID:2187 ! amelogenesis imperfecta
DOID:0110064	DOID:2187 ! amelogenesis imperfecta
DOID:0110065	DOID:2187 ! amelogenesis imperfecta
DOID:0110066	DOID:2187 ! amelogenesis imperfecta
DOID:0110067	DOID:332 ! amyotrophic lateral sclerosis
DOID:0110068	DOID:332 ! amyotrophic lateral sclerosis
DOID:0110069	DOID:332 ! amyotrophic lateral sclerosis
DOID:0110070	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110071	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110072	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110073	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110074	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110075	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110076	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110077	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110078	DOID:14791 ! Leber congenital amaurosis
DOID:0110079	DOID:14791 ! Leber congenital amaurosis
DOID:0110080	DOID:14791 ! Leber congenital amaurosis
DOID:0110081	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110082	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110083	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110084	DOID:0050431 ! arrhythmogenic right ventricular cardiomyopathy
DOID:0110085	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110086	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110087	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110088	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110089	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110090	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110091	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110092	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110093	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110094	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110095	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110096	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110097	DOID:0050592 ! asphyxiating thoracic dystrophy
DOID:0110098	DOID:3310 ! atopic dermatitis
DOID:0110099	DOID:3310 ! atopic dermatitis
DOID:0110100	DOID:3310 ! atopic dermatitis
DOID:0110101	DOID:3310 ! atopic dermatitis
DOID:0110102	DOID:3310 ! atopic dermatitis
DOID:0110103	DOID:3310 ! atopic dermatitis
DOID:0110104	DOID:3310 ! atopic dermatitis
DOID:0110105	DOID:3310 ! atopic dermatitis
DOID:0110106	DOID:1882 ! atrial heart septal defect
DOID:0110107	DOID:1882 ! atrial heart septal defect
DOID:0110108	DOID:1882 ! atrial heart septal defect
DOID:0110109	DOID:1882 ! atrial heart septal defect
DOID:0110110	DOID:1882 ! atrial heart septal defect
DOID:0110111	DOID:1882 ! atrial heart septal defect
DOID:0110112	DOID:1882 ! atrial heart septal defect
DOID:0110113	DOID:1882 ! atrial heart septal defect
DOID:0110114	DOID:1882 ! atrial heart septal defect
DOID:0110115	DOID:6688 ! autoimmune lymphoproliferative syndrome
DOID:0110116	DOID:6688 ! autoimmune lymphoproliferative syndrome
DOID:0110117	DOID:6688 ! autoimmune lymphoproliferative syndrome
DOID:0110118	DOID:14791 ! Leber congenital amaurosis
DOID:0110119	DOID:6688 ! autoimmune lymphoproliferative syndrome
DOID:0110120	DOID:14686 ! Axenfeld-Rieger syndrome
DOID:0110121	DOID:14686 ! Axenfeld-Rieger syndrome
DOID:0110122	DOID:14686 ! Axenfeld-Rieger syndrome
DOID:0110123	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110124	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110125	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110126	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110127	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110128	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110129	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110130	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110131	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110132	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110133	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110134	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110135	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110136	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110137	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110138	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110139	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110140	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110141	DOID:1935 ! Bardet-Biedl syndrome
DOID:0110142	DOID:445 ! Bartter disease
DOID:0110143	DOID:445 ! Bartter disease
DOID:0110144	DOID:445 ! Bartter disease
DOID:0110145	DOID:445 ! Bartter disease
DOID:0110146	DOID:445 ! Bartter disease
DOID:0110147	DOID:445 ! Bartter disease
DOID:0110148	DOID:0050538 ! Charcot-Marie-Tooth disease type 1
DOID:0110149	DOID:0050538 ! Charcot-Marie-Tooth disease type 1
DOID:0110150	DOID:0050538 ! Charcot-Marie-Tooth disease type 1
DOID:0110151	DOID:0050538 ! Charcot-Marie-Tooth disease type 1
DOID:0110152	DOID:0050538 ! Charcot-Marie-Tooth disease type 1
DOID:0110153	DOID:0050538 ! Charcot-Marie-Tooth disease type 1
DOID:0110154	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110155	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110156	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110157	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110158	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110159	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110160	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110161	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110162	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110163	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110164	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110165	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110166	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110167	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110168	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110169	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110170	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110171	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110173	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110174	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110175	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110176	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110177	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110178	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110179	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110180	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110181	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110182	DOID:0050539 ! Charcot-Marie-Tooth disease type 2
DOID:0110183	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110184	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110185	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110186	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110187	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110188	DOID:14791 ! Leber congenital amaurosis
DOID:0110189	DOID:14791 ! Leber congenital amaurosis
DOID:0110190	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110191	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110192	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110193	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110194	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110195	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110196	DOID:0050541 ! Charcot-Marie-Tooth disease type 4
DOID:0110197	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110198	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110199	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110200	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110201	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110202	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110203	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110204	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110205	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110206	DOID:0050543 ! Charcot-Marie-Tooth disease intermediate type
DOID:0110207	DOID:0050542 ! Charcot-Marie-Tooth disease type X
DOID:0110208	DOID:0050542 ! Charcot-Marie-Tooth disease type X
DOID:0110209	DOID:0050542 ! Charcot-Marie-Tooth disease type X
DOID:0110210	DOID:0050542 ! Charcot-Marie-Tooth disease type X
DOID:0110211	DOID:0050542 ! Charcot-Marie-Tooth disease type X
DOID:0110212	DOID:0050542 ! Charcot-Marie-Tooth disease type X
DOID:0110213	DOID:674 ! cleft palate
DOID:0110214	DOID:674 ! cleft palate
DOID:0110215	DOID:14791 ! Leber congenital amaurosis
