EFO:0000001	experimental factor
EFO:0003664	obsolete_intersegmental vessel
EFO:0003665	obsolete_caudal vein plexus
EFO:0003666	obsolete_renal tubule
EFO:0003667	obsolete_renal glomerulus
EFO:0003668	obsolete_ciliary marginal zone
EFO:0003669	obsolete_facial ganglion
EFO:0003670	obsolete_vagal ganglion 1
EFO:0003671	obsolete_vagal ganglion 2
EFO:0003672	obsolete_vagal ganglion 3
EFO:0003673	obsolete_vagal ganglion 4
EFO:0003674	obsolete_dorsal anterior lateral line ganglion
EFO:0003675	obsolete_ventral anterior lateral line ganglion
EFO:0003676	obsolete_posterior lateral line ganglion
EFO:0003677	obsolete_neurocranial trabecula
EFO:0003678	obsolete_terminal nerve
EFO:0003679	obsolete_pineal complex
EFO:0003680	obsolete_axial hypoblast
EFO:0003681	obsolete_apical ectodermal ridge pelvic fin bud
EFO:0003682	obsolete_regeneration epithelium
EFO:0003683	obsolete_anterior lateral line ganglion
EFO:0003684	obsolete_ventral hyoid arch
EFO:0003685	obsolete_ethmoid cartilage
EFO:0003686	obsolete_hyosymplectic cartilage
EFO:0003687	obsolete_primitive olfactory epithelium
EFO:0003688	obsolete_floor plate neural tube
EFO:0003689	obsolete_pharyngeal arch cartilage
EFO:0003690	obsolete_chondrocranium cartilage
EFO:0003691	obsolete_anterior lateral line system
EFO:0003692	obsolete_posterior lateral line system
EFO:0003693	obsolete_superficial blastomere
EFO:0003694	obsolete_pharyngeal arch 3-7
EFO:0003695	obsolete_aortic arch
EFO:0003696	obsolete_mid cerebral vein
EFO:0003697	obsolete_primordial midbrain channel
EFO:0003698	obsolete_dorsal longitudinal anastomotic vessel
EFO:0003699	obsolete_ventral wall of dorsal aorta
EFO:0003700	obsolete_rostral blood island
EFO:0003701	obsolete_parachordal vessel
EFO:0003702	obsolete_anterior lateral mesoderm
EFO:0003703	obsolete_posterior lateral mesoderm
EFO:0003704	obsolete_anterior lateral plate mesoderm
EFO:0003705	obsolete_posterior lateral plate mesoderm
EFO:0003706	obsolete_trabecular layer
EFO:0003707	obsolete_atrioventricular ring
EFO:0003708	obsolete_primordial vasculature
EFO:0003709	obsolete_vascular cord
EFO:0003710	obsolete_anterior lateral line primordium
EFO:0003711	obsolete_Rohon-Beard neuron
EFO:0003712	obsolete_liver (Bos taurus)
EFO:0003713	obsolete_liver (Gallus gallus)
EFO:0003714	obsolete_liver (Homo sapiens)
EFO:0003715	obsolete_liver (Macaca fascicularis)
EFO:0003716	obsolete_liver (Macaca mulatta)
EFO:0003717	obsolete_liver (Mus musculus)
EFO:0003718	obsolete_liver (Pan troglodytes)
EFO:0003719	obsolete_liver (Pongo pygmaeus)
EFO:0003720	obsolete_liver (Rattus norvegicus)
EFO:0003721	obsolete_liver (Rattus rattus)
EFO:0003722	obsolete_kidney (Bos taurus)
EFO:0003723	obsolete_kidney (Homo sapiens)
EFO:0003724	obsolete_kidney (Mus musculus)
EFO:0003725	obsolete_kidney (Pan troglodytes)
EFO:0003726	obsolete_kidney (Pongon pygmaeus)
EFO:0003727	obsolete_kidney (Rattus norvegicus)
EFO:0003728	obsolete_kidney (Rattus rattus)
EFO:0003729	obsolete_lung (Bos taurus)
EFO:0003730	obsolete_lung (Gallus gallus)
EFO:0003731	obsolete_lung (Homo sapiens)
EFO:0003732	obsolete_lung (Macaca fascicularis)
EFO:0003733	obsolete_lung (Mus musculus)
EFO:0003734	obsolete_lung (Rattus norvegicus)
EFO:0003735	obsolete_lung (Rattus rattus)
EFO:0003736	obsolete_lung (Sus scrofa)
EFO:0003737	RNA-seq of non coding RNA
EFO:0003738	RNA-seq of coding RNA
EFO:0003739	sequencer
EFO:0003740	assay by sequencer
EFO:0003741	pooled clone sequencing
EFO:0003742	clone by clone sequencing
EFO:0003743	clone end sequencing
EFO:0003744	whole genome shotgun sequencing
EFO:0003745	random chromosome sequencing
EFO:0003746	random exon sequencing
EFO:0003747	amplicon sequencing
EFO:0003748	MRE-seq
EFO:0003749	MeDIP-seq
EFO:0003750	MBD-seq
EFO:0003751	MNase-seq
EFO:0003752	DNase-Hypersensitivity seq
EFO:0003753	Bisulfite-seq
EFO:0003754	EST sequencing
EFO:0003755	FL-cDNA
EFO:0003756	autism spectrum disorder
EFO:0003757	Asperger syndrome
EFO:0003758	autism
EFO:0003759	pervasive developmental disorder - not otherwise specified
EFO:0003760	central nervous system cyst
EFO:0003761	unipolar depression
EFO:0003762	vitamin D deficiency
EFO:0003763	cerebrovascular disorder
EFO:0003764	transient ischemic attack
EFO:0003765	sign or symptom
EFO:0003766	pain in abdomen
EFO:0003767	inflammatory bowel disease
EFO:0003768	nicotine dependence
EFO:0003769	endocrine neoplasm
EFO:0003770	diabetic retinopathy
EFO:0003771	obsolete_abdominal fat
EFO:0003773	obsolete_endocrine system component
EFO:0003774	hyperlipidemia
EFO:0003775	Job's syndrome
EFO:0003776	coronary artery bypass
EFO:0003777	heart disease
EFO:0003778	psoriatic arthritis
EFO:0003779	Hashimoto's thyroiditis
EFO:0003780	Behcet's syndrome
EFO:0003781	carotid artery disease
EFO:0003782	motor neuron disease
EFO:0003783	progressive bulbar palsy
EFO:0003784	skin pigmentation
EFO:0003785	allergy
EFO:0003786	cytokine
EFO:0003787	cytokine role
EFO:0003788	gene expression protocol
EFO:0003789	growth protocol
EFO:0003790	hybridization protocol
EFO:0003791	interleukin (Homo sapiens)
EFO:0003792	interleukin (Mus musculus)
EFO:0003793	interleukin (Rattus norvegicus)
EFO:0003794	interleukin-1 beta (Homo sapiens)
EFO:0003795	interleukin-1 beta (Mus musculus)
EFO:0003796	interleukin-1 beta (Rattus norvegicus)
EFO:0003797	interleukin-13 (Homo sapiens)
EFO:0003798	interleukin-13 (Mus musculus)
EFO:0003799	interleukin-14 (Mus musculus)
EFO:0003800	interleukin-17 (Mus musculus)
EFO:0003801	interleukin-19 (Homo sapiens)
EFO:0003802	refractory anemia
EFO:0003803	interleukin-20 (Homo sapiens)
EFO:0003804	interleukin-21 (Mus musculus)
EFO:0003805	interleukin-24 (Homo sapiens)
EFO:0003806	interleukin-26 (Homo sapiens)
EFO:0003807	interleukin-33 (Rattus norvegicus)
EFO:0003808	labelling protocol
EFO:0003809	sample treatment protocol
EFO:0003810	interleukin-22 (Homo sapiens)
EFO:0003811	refractory anemia with excess blasts
EFO:0003812	refractory anemia with ringed sideroblasts
EFO:0003813	nucleic acid labeling protocol
EFO:0003814	array scanning and feature extraction protocol
EFO:0003815	nucleic acid hybridization to array protocol
EFO:0003816	normalization data transformation protocol
EFO:0003817	laryngeal neoplasm
EFO:0003818	lung disease
EFO:0003819	dental caries
EFO:0003820	bone neoplasm
EFO:0003821	migraine disorder
EFO:0003822	hyperemia
EFO:0003823	obsolete_spinal muscular atrophy
EFO:0003824	eye neoplasm
EFO:0003825	serous adenocarcinoma
EFO:0003826	salivary gland neoplasm
EFO:0003827	pulmonary embolism
EFO:0003828	spinal cord neoplasm
EFO:0003829	alcohol dependence
EFO:0003830	prostatitis
EFO:0003831	obsolete_chromosome disorder
EFO:0003832	gallbladder disease
EFO:0003833	brain neoplasm
EFO:0003834	cutaneous lupus erythematosus
EFO:0003835	anal neoplasm
EFO:0003836	lipoprotein
EFO:0003837	calcification
EFO:0003838	obsolete_inflammation
EFO:0003839	retinopathy
EFO:0003840	chronic progressive multiple sclerosis
EFO:0003841	thyroid neoplasm
EFO:0003842	obsolete_bone of lower extremity
EFO:0003843	pain
EFO:0003844	ureteral neoplasm
EFO:0003845	kidney stone
EFO:0003846	urethral neoplasm
EFO:0003847	mental retardation
EFO:0003848	obsolete_cardiovascular abnormality
EFO:0003849	palatal neoplasm
EFO:0003850	adrenal gland neoplasm
EFO:0003851	meningeal neoplasm
EFO:0003852	developmental disability
EFO:0003853	respiratory system neoplasm
EFO:0003854	postmenopausal osteoporosis
EFO:0003855	intestinal polyp
EFO:0003856	dissection
EFO:0003857	arthrogryposis
EFO:0003858	skeleton structure
EFO:0003859	uterine neoplasm
EFO:0003860	pancreatic neoplasm
EFO:0003861	pancreactic component
EFO:0003862	obsolete_dementia
EFO:0003863	urogenital neoplasm
EFO:0003864	obsolete_genitourinary system
EFO:0003865	kidney neoplasm
EFO:0003866	paranasal sinus neoplasm
EFO:0003867	rhabdomyolysis
EFO:0003868	mouth neoplasm
EFO:0003869	breast neoplasm
EFO:0003870	brain aneurysm
EFO:0003871	tongue neoplasm
EFO:0003872	colitis
EFO:0003873	parotid neoplasm
EFO:0003874	flatfoot
EFO:0003875	peripheral vascular disease
EFO:0003876	intermittent vascular claudication
EFO:0003877	sleep apnea
EFO:0003878	urethritis
EFO:0003879	obsolete_aortic valve
EFO:0003880	appendiceal neoplasm
EFO:0003881	hysterectomy
EFO:0003882	osteoporosis
EFO:0003883	obsolete_brain ischemia
EFO:0003884	chronic kidney disease
EFO:0003885	multiple sclerosis
EFO:0003886	obsolete_metacarpal bone
EFO:0003887	obsolete_thrombophlebitis
EFO:0003888	attention deficit hyperactivity disorder
EFO:0003889	functional laterality
EFO:0003890	drug dependence
EFO:0003891	biliary tract neoplasm
EFO:0003892	pulmonary function measurement
EFO:0003893	ovarian neoplasm
EFO:0003894	acne
EFO:0003895	epistaxis
EFO:0003896	left ventricular hypertrophy
EFO:0003897	stomach neoplasm
EFO:0003898	ankylosing spondylitis
EFO:0003899	contracture
EFO:0003900	ciliopathy
EFO:0003901	dysuria
EFO:0003902	spinal fracture
EFO:0003903	obsolete_Wiskott-Aldrich syndrome
EFO:0003905	obsolete_venous thrombosis
EFO:0003906	heart valve prosthesis
EFO:0003907	deep vein thrombosis
EFO:0003908	obsolete_refractive error
EFO:0003909	obsolete_heart conduction system
EFO:0003910	obsolete_von Willebrand disease
EFO:0003911	atrial flutter
EFO:0003912	ankle brachial index
EFO:0003913	angina pectoris
EFO:0003914	atherosclerosis
EFO:0003915	obsolete_congenital abnormality
EFO:0003916	obsolete_cerebral arteriovenous malformation
EFO:0003917	premature birth
EFO:0003918	obstructive sleep apnea
EFO:0003919	risk factor
EFO:0003920	obsolete_cleft palate
EFO:0003921	pouchitis
EFO:0003922	menopause
EFO:0003923	bone density
EFO:0003924	hair color
EFO:0003925	cognition
EFO:0003926	neuropsychological test
EFO:0003927	obsolete_myopia
EFO:0003928	necrotizing enterocolitis
EFO:0003929	relapsing-remitting multiple sclerosis
EFO:0003930	menarche
EFO:0003931	bone fracture
EFO:0003932	bacterial vaginosis
EFO:0003933	obsolete_mitral valve
EFO:0003934	obsolete_fatty liver
EFO:0003935	mental health
EFO:0003936	obsolete_physiological process
EFO:0003938	aphthous ulcer
EFO:0003939	energy intake
EFO:0003940	physical activity
EFO:0003941	sex hormone-binding globulin
EFO:0003942	Xenograft
EFO:0003943	humerus fracture
EFO:0003944	tibia fracture
EFO:0003945	obsolete_menorrhagia
EFO:0003946	Fuchs' endothelial dystrophy
EFO:0003947	personality
EFO:0003948	gastroesophageal reflux disease
EFO:0003949	eye color
EFO:0003950	ulna fracture
EFO:0003951	percutaneous transluminal coronary angioplasty
EFO:0003952	fever of unknown origin
EFO:0003953	circumcision
EFO:0003954	obsolete_Treacher-Collins syndrome
EFO:0003955	bacterial sexually transmitted disease
EFO:0003956	seasonal allergic rhinitis
EFO:0003957	radius fracture
EFO:0003958	sunburn
EFO:0003959	cleft lip
EFO:0003960	computed tomography
EFO:0003961	hormone replacement therapy
EFO:0003962	pulsed doppler echocardiography
EFO:0003963	freckles
EFO:0003964	hip fracture
EFO:0003965	very low birth weight infant
EFO:0003966	eye disease
EFO:0003967	vascular sarcoma
EFO:0003968	angiosarcoma
EFO:0003969	treatment protocol
EFO:0003970	mouse erythroleukemia cell
EFO:0003971	MEL cell line
EFO:0003972	ESHyb
EFO:0004000	Mus musculus strain type
EFO:0004001	closed colony random bred strain
EFO:0004002	coisogenic strain
EFO:0004003	congenic strain
EFO:0004004	consomic strain
EFO:0004005	inbred Mus musculus strain
EFO:0004006	mutant strain
EFO:0004007	recombinant congenic strain
EFO:0004008	recombinant inbred strain
EFO:0004009	segregating inbred strain
EFO:0004010	wild-derived inbred strain
EFO:0004011	major histocompatibility congenic strain
EFO:0004012	mating type F
EFO:0004013	balanced reciprocal translocation
EFO:0004014	deletion
EFO:0004015	duplication
EFO:0004016	insertion
EFO:0004017	inversion
EFO:0004018	spontaneous mutation
EFO:0004019	targeted mutation
EFO:0004020	transgenic
EFO:0004021	transposition
EFO:0004022	reciprocal translocation
EFO:0004023	Roberstonian translocation
EFO:0004024	translocation
EFO:0004025	AA86
EFO:0004026	AA87
EFO:0004027	AA89
EFO:0004028	N2
EFO:0004029	Drosophila simulans HW09
EFO:0004030	gene trap
EFO:0004031	Drosophila simulans NC48
EFO:0004032	Drosophile simulans MD106
EFO:0004033	experiment accession
EFO:0004034	discretized differential expression
EFO:0004035	mating type F minus
EFO:0004036	mating type h plus
EFO:0004037	MEF cell line
EFO:0004038	mouse embryonic stem cell
EFO:0004039	mouse neural progenitor cell
EFO:0004040	mouse embryonic fibroblast cell
EFO:0004041	NPC
EFO:0004042	AB1
EFO:0004043	AB2
EFO:0004044	CB30
EFO:0004045	CB88
EFO:0004046	CB128
EFO:0004047	CB184
EFO:0004048	CB185
EFO:0004049	CB491
EFO:0004050	CB678
EFO:0004051	CB4555
EFO:0004052	CB4853
EFO:0004053	CB4854
EFO:0004054	CB4855
EFO:0004055	CB4856
EFO:0004056	CB4857
EFO:0004057	CB4932
EFO:0004058	MT3847
EFO:0004059	RC301
EFO:0004060	TR389
EFO:0004061	TR403
EFO:0004062	NL2099
EFO:0004063	AF16
EFO:0004064	VT847
EFO:0004065	HK104
EFO:0004066	EM464
EFO:0004067	SB146
EFO:0004068	DF5033
EFO:0004069	DF5018
EFO:0004070	EM435
EFO:0004071	CEW1
EFO:0004072	AA120
EFO:0004073	CB66
EFO:0004074	CB120
EFO:0004075	CB155
EFO:0004076	CB189
EFO:0004077	CB205
EFO:0004078	CB306
EFO:0004079	CB1370
EFO:0004080	DR20
EFO:0004081	DR26
EFO:0004082	DR40
EFO:0004083	DR47
EFO:0004084	DR1564
EFO:0004085	DR1567
EFO:0004086	DR1572
EFO:0004087	GR1307
EFO:0004088	JT709
EFO:0004089	SS149
EFO:0004090	MQ887
EFO:0004091	TK22
EFO:0004092	VC199
EFO:0004093	CB4858
EFO:0004094	scanned image
EFO:0004095	data file
EFO:0004096	processed array data file
EFO:0004097	MAGE-TAB array data matrix file
EFO:0004098	array data file
EFO:0004099	derived MAGE-TAB array data matrix file
EFO:0004100	interleukin
EFO:0004101	validation type
EFO:0004102	seq library strategy
EFO:0004103	seq file type
EFO:0004104	seq library source
EFO:0004105	seq library selection
EFO:0004106	seq instrument model
EFO:0004107	Atlas Quality Control type
EFO:0004108	Atlas experiment type
EFO:0004109	obsolete_factor type
EFO:0004110	validation flag
EFO:0004111	seq file type flag
EFO:0004112	seq library strategy flag
EFO:0004113	seq library source flag
EFO:0004114	seq library selection flag
EFO:0004115	seq instrument model flag
EFO:0004116	QC type flag
EFO:0004117	Atlas experiment type flag
EFO:0004118	factor type flag
EFO:0004119	AE experiment type flag
EFO:0004120	ArrayExpress experiment type
EFO:0004121	obsolete_achondroplasia
EFO:0004122	obsolete_neurofibromatosis type II
EFO:0004123	acrocephalosyndactylia
EFO:0004124	obsolete_Darier's disease
EFO:0004125	growth hormone-secreting pituitary adenoma
EFO:0004126	Adie syndrome
EFO:0004127	hyperthyroxinemia
EFO:0004128	hereditary nephritis
EFO:0004129	familial amyloid neuropathy
EFO:0004130	obsolete_Diamond-Blackfan anemia
EFO:0004131	obsolete_Angelman syndrome
EFO:0004132	obsolete_aniridia
EFO:0004133	obsolete_angioedemas, hereditary
EFO:0004134	tumor size
EFO:0004135	obsolete_Machado-Joseph disease
EFO:0004136	obsolete_basal cell nevus syndrome
EFO:0004137	obsolete_epidermolytic hyperkeratosis
EFO:0004138	bundle branch block
EFO:0004139	obsolete_Caffey disease
EFO:0004140	obsolete_campomelic dysplasia
EFO:0004141	obsolete_perineum
EFO:0004142	colorectal neoplasm
EFO:0004143	carpal tunnel syndrome
EFO:0004144	acatalasia
EFO:0004145	myopathy
EFO:0004146	obsolete_central core myopathy
EFO:0004147	obsolete_Sotos syndrome
EFO:0004148	obsolete_Charcot-Marie-Tooth disease
EFO:0004149	neuropathy
EFO:0004150	obsolete_cherubism
EFO:0004151	obsolete_Alagille syndrome
EFO:0004152	chorea
EFO:0004153	obsolete_cleidocranial dysplasia
EFO:0004154	Sequence Read Format (SRF)
EFO:0004155	FASTQ format
EFO:0004156	Standard Flowgram Format (SFF)
EFO:0004157	BAM format
EFO:0004158	random RNA-Seq across whole transcriptome
EFO:0004159	SOLiD native csfasta format
EFO:0004160	whole chromosome random sequencing
EFO:0004161	finishing sequencing assay
EFO:0004162	CTS (Concatenated Tag Sequencing)
EFO:0004163	SOLiD native qual format
EFO:0004164	Illumina native qseq format
EFO:0004165	Illumina native scarf format
EFO:0004166	Illumina native fastq format
EFO:0004167	RAPD
EFO:0004168	hypomethylated partial restriction digest
EFO:0004169	methyl filtration
EFO:0004170	nucleic acid sequencing protocol
EFO:0004171	cot filtration for single or low copy genomic DNA
EFO:0004172	cot filtration for moderately repetitive genomic DNA
EFO:0004173	cot filtration for highly repetitive genomic DNA
EFO:0004174	cot filtration for theoretical single copy genomic DNA
EFO:0004175	Methylation Spanning Linker Library (MSLL) processing
EFO:0004176	ChIP
EFO:0004177	Micrococcal Nuclease digestion
EFO:0004178	reduced representation preparation
EFO:0004179	restriction digest
EFO:0004180	DNA selection through 5-methylcytidine antibody
EFO:0004181	cap analysis gene expression
EFO:0004182	Rapid Amplification of cDNA Ends
EFO:0004183	size fractionation
EFO:0004184	nucleic acid library construction protocol
EFO:0004185	enrichment of methylated DNA
EFO:0004186	Deoxyribonuclease digestion
EFO:0004187	cDNA library construction
EFO:0004188	hybrid selection of targets
EFO:0004189	DNA shearing
EFO:0004190	open-angle glaucoma
EFO:0004191	androgenetic alopecia
EFO:0004192	alopecia areata
EFO:0004193	basal cell carcinoma
EFO:0004194	IGA glomerulonephritis
EFO:0004195	LDL cholesterol
EFO:0004196	viral human hepatitis infection
EFO:0004197	hepatitis B infection
EFO:0004198	skin neoplasm
EFO:0004199	dysplastic nevus
EFO:0004200	Illumina Genome Analyzer
EFO:0004201	Illumina Genome Analyzer II
EFO:0004202	Illumina Genome Analyzer IIx
EFO:0004203	Illumina HiSeq 2000
EFO:0004204	Illumina HiSeq 1000
EFO:0004205	Illumina MiSeq
EFO:0004206	454 GS 20 sequencer
EFO:0004207	pathological myopia
EFO:0004208	Vitiligo
EFO:0004209	hypospadias
EFO:0004210	gallstones
EFO:0004211	Hypertriglyceridemia
EFO:0004212	Keloid
EFO:0004213	otosclerosis
EFO:0004214	Abdominal Aortic Aneurysm
EFO:0004215	anorexia nervosa
EFO:0004216	conduct disorder
EFO:0004217	obsolete_Biliary atresia
EFO:0004218	marijuana dependence
EFO:0004219	CD8-Positive T-Lymphocytes
EFO:0004220	Chronic Hepatitis C infection
EFO:0004221	obsolete_External ear
EFO:0004222	obsolete_astigmatism
EFO:0004223	obsolete_Keratoconus
EFO:0004224	Coronary Restenosis
EFO:0004225	Coronary Vasospasm
EFO:0004226	Creutzfeldt Jacob Disease
EFO:0004227	Dengue Hemorrhagic Fever
EFO:0004228	drug-induced liver injury
EFO:0004229	Dupuytren Contracture
EFO:0004230	endometrial neoplasm
EFO:0004231	obsolete_brachial artery
EFO:0004232	eosinophilic esophagitis
EFO:0004233	leukopenia
EFO:0004234	erectile dysfunction
EFO:0004235	exfoliation syndrome
EFO:0004236	focal segmental glomerulosclerosis
EFO:0004237	Graves disease
EFO:0004238	hearing loss
EFO:0004239	chronic hepatitis B infection
EFO:0004240	heroin dependence
EFO:0004241	obsolete_Hirschsprung disease
EFO:0004242	obsessive-compulsive disorder
EFO:0004243	carcinoid tumor
EFO:0004244	interstitial lung disease
EFO:0004245	obsolete_iris
EFO:0004246	mucocutaneous lymph node syndrome
EFO:0004247	mood disorder
EFO:0004248	male infertility
EFO:0004249	meningococcal infection
EFO:0004250	obsolete_Moyamoya disease
EFO:0004251	myeloproliferative disorder
EFO:0004252	nasopharyngeal neoplasm
EFO:0004253	nephrolithiasis
EFO:0004254	membranous glomerulonephritis
EFO:0004255	nephrotic syndrome
EFO:0004256	neuromyelitis optica
EFO:0004257	neurotic disorder
EFO:0004258	obsolete_optic nerve
EFO:0004259	osteonecrosis
EFO:0004260	bone disease
EFO:0004261	osteitis deformans
EFO:0004262	panic disorder
EFO:0004263	partial epilepsy
EFO:0004264	vascular disease
EFO:0004265	peripheral arterial disease
EFO:0004266	primary ovarian insufficiency
EFO:0004267	biliary liver cirrhosis
EFO:0004268	sclerosing cholangitis
EFO:0004269	cardiac arrhythmia
EFO:0004270	restless legs syndrome
EFO:0004272	anemia
EFO:0004273	scoliosis
EFO:0004274	gout
EFO:0004275	obsolete_sick sinus syndrome
EFO:0004276	Stevens-Johnson syndrome
EFO:0004277	brain infarction
EFO:0004278	sudden cardiac arrest
EFO:0004279	suntan
EFO:0004280	movement disorder
EFO:0004281	testicular neoplasm
EFO:0004282	thoracic aortic aneurysm
EFO:0004283	goiter
EFO:0004284	upper aerodigestive tract neoplasm
EFO:0004285	albuminuria
EFO:0004286	venous thromboembolism
EFO:0004287	ventricular fibrillation
EFO:0004288	colonic neoplasm
EFO:0004289	lymphoid leukemia
EFO:0004290	obsolete_sneezing
EFO:0004291	braces
EFO:0004292	vaccination
EFO:0004293	recombination
EFO:0004294	left atrial function
EFO:0004295	left ventricular function
EFO:0004296	thyroid function
EFO:0004297	clinical laboratory measurement
EFO:0004298	cardiovascular measurement
EFO:0004299	life expectancy
EFO:0004300	longevity
EFO:0004301	blood viscosity
EFO:0004302	anthropometric measurement
EFO:0004303	vital signs
EFO:0004304	blood sedimentation
EFO:0004305	erythrocyte count
EFO:0004306	erythrocyte indices
EFO:0004307	glucose tolerance test
EFO:0004308	leukocyte count
EFO:0004309	platelet count
EFO:0004310	partial thromboplastin time
EFO:0004311	heart function measurement
EFO:0004312	vital capacity
EFO:0004313	maximal midexpiratory flow rate
EFO:0004314	forced expiratory volume
EFO:0004315	drinking behavior
EFO:0004316	exploratory behavior
EFO:0004317	extraversion
EFO:0004318	smoking behavior
EFO:0004319	smoking cessation
EFO:0004320	suicidal ideation
EFO:0004321	attempted suicide
EFO:0004323	mental process
EFO:0004324	body weights and measures
EFO:0004325	blood pressure
EFO:0004326	heart rate
EFO:0004327	electrocardiography
EFO:0004328	exercise test
EFO:0004329	alcohol drinking
EFO:0004330	coffee consumption
EFO:0004331	obsolete_tooth eruption
EFO:0004333	episodic memory
EFO:0004334	intuition
EFO:0004335	short-term memory
EFO:0004336	speech perception
EFO:0004337	intelligence
EFO:0004338	body weight
EFO:0004339	body height
EFO:0004340	body mass index
EFO:0004341	body fat distribution
EFO:0004342	waist circumference
EFO:0004343	waist-hip ratio
EFO:0004344	birth weight
EFO:0004345	corneal topography
EFO:0004346	neuroimaging measurement
EFO:0004347	addictive behaviour
EFO:0004348	hematocrit
EFO:0004350	reasoning
EFO:0004351	resting heart rate
EFO:0004352	mortality
EFO:0004354	circadian rhythm
EFO:0004355	obsolete_sensation
EFO:0004356	obsolete_taste
EFO:0004357	electroencephalogram measurement
EFO:0004358	event-related brain oscillation
EFO:0004359	telomere
EFO:0004362	psychomotor performance
EFO:0004363	information processing speed
EFO:0004364	neurobehavioral manifestations
EFO:0004365	personality trait
EFO:0004366	social desirability
EFO:0004367	induces sterile inflammation
EFO:0004368	Number of molecules
EFO:0004369	obsolete_microgram per milliliter
EFO:0004370	microgram per square centimeter
EFO:0004371	gram per kilogram per day
EFO:0004373	milligram per square meter
EFO:0004374	milligram per deciliter
EFO:0004378	microgram per day
EFO:0004379	milli-International Unit per milliliter
EFO:0004381	mole per liter
EFO:0004382	nanogram per liter
EFO:0004383	nanogram per microliter
EFO:0004384	weight percent by volume
EFO:0004385	picogram per milliliter
EFO:0004386	total particulate matter per liter
EFO:0004387	inch
EFO:0004388	picomole per 10^6 cells
EFO:0004389	UCH-1
EFO:0004390	mouse postnatal
EFO:0004391	Theiler stage 27
EFO:0004393	Theiler stage 1
EFO:0004394	Theiler stage 2
EFO:0004395	Theiler stage 3
EFO:0004396	Theiler stage 4
EFO:0004397	Theiler stage 5
EFO:0004398	Theiler stage 6
EFO:0004399	Theiler stage 7
EFO:0004400	Theiler stage 8
EFO:0004401	Theiler stage 9
EFO:0004402	Theiler stage 10
EFO:0004403	Theiler stage 12
EFO:0004404	Theiler stage 13
EFO:0004405	Theiler stage 14
EFO:0004406	Theiler stage 15
EFO:0004407	Theiler stage 16
EFO:0004408	Theiler stage 18
EFO:0004409	Theiler stage 19
EFO:0004410	Theiler stage 20
EFO:0004411	Theiler stage 23
EFO:0004412	Theiler stage 25
EFO:0004413	microliter per liter
EFO:0004414	joule per square meter
EFO:0004415	ionic salt
EFO:0004416	acid
EFO:0004417	amide
EFO:0004418	unit of flow rate
EFO:0004419	milligram per day
EFO:0004420	genome
EFO:0004421	transcriptome
EFO:0004422	exome
EFO:0004423	exon
EFO:0004424	family relationship
EFO:0004425	initial time point
EFO:0004426	karyotype
EFO:0004427	joule per square centimeter
EFO:0004428	FAIRE-seq
EFO:0004429	inbred
EFO:0004430	outbred
EFO:0004431	454 GS sequencer
EFO:0004432	454 GS FLX sequencer
EFO:0004433	454 GS FLX Titanium sequencer
EFO:0004434	454 GS Junior sequencer
EFO:0004435	AB SOLiD System
EFO:0004436	AB SOLiD 5500xl
EFO:0004437	AB SOLiD PI System
EFO:0004438	AB SOLiD 4 System
EFO:0004439	AB SOLiD System 3.0
EFO:0004440	AB SOLiD 5500
EFO:0004441	AB SOLiD 4hq System
EFO:0004442	AB SOLiD System 2.0
EFO:0004443	material supplier
EFO:0004444	environmental history
EFO:0004445	cohort
EFO:0004446	biological macromolecule
EFO:0004447	peer review quality control role
EFO:0004451	obsolete_Arabidopsis Growth Stage 6.30
EFO:0004452	obsolete_Arabidopsis Growth Stage 6.50
EFO:0004453	obsolete_Arabidopsis Growth Stage 8.00
EFO:0004454	obsolete_Arabidopsis Growth Stage 9.70
EFO:0004455	cot filtration
EFO:0004456	reduce cholesterol levels
EFO:0004457	carcinogen role
EFO:0004458	C-reactive protein measurement
EFO:0004459	ferritin measurement
EFO:0004460	soluble transferrin receptor measurement
EFO:0004461	iron biomarker measurement
EFO:0004462	PR interval
EFO:0004463	angiotensin converting enzyme activity measurement
EFO:0004464	brain measurement
EFO:0004465	fasting blood glucose measurement
EFO:0004466	fasting blood insulin measurement
EFO:0004467	insulin measurement
EFO:0004468	glucose measurement
EFO:0004469	HOMA-B
EFO:0004471	insulin sensitivity measurement
EFO:0004472	C57BL/6
EFO:0004500	radiation induced mutation
EFO:0004501	HOMA-IR
EFO:0004502	adiponectin measurement
EFO:0004503	hematological measurement
EFO:0004504	serum hepcidin measurement
EFO:0004505	telomere length
EFO:0004506	monocyte early outgrowth colony forming unit
EFO:0004507	D dimer measurement
EFO:0004508	spine bone size
EFO:0004509	hemoglobin measurement
EFO:0004510	HPV seropositivity
EFO:0004511	femoral neck bone geometry
EFO:0004512	bone measurement
EFO:0004513	bone geometry
EFO:0004514	bone quantitative ultrasound measurement
EFO:0004515	muscle measurement
EFO:0004516	bone fracture related measurement
EFO:0004517	arterial stiffness measurement
EFO:0004518	serum creatinine measurement
EFO:0004519	soluble P-selectin measurement
EFO:0004520	ICAM-1 measurement
EFO:0004521	adhesion factor
EFO:0004522	adhesion molecule measurement
EFO:0004523	obsolete_hemoglobin E disease
EFO:0004525	obsolete_bitter taste sensitivity
EFO:0004526	mean corpuscular volume
EFO:0004527	mean corpuscular hemoglobin
